"Conflict","Start","Parties / Context","Status & Assessment"
"Ethiopian Civil Conflict","2018","Federal govt vs. Fano (Amhara) militias, OLA (Oromo); post-Tigray-war instability.cnn","6,316 deaths in 2025.cnn Assessment: Post-Tigray peace did not bring stability — conflict metastasized to Amhara and Oromia. High risk of renewed large-scale war; Tigray tensions could reignite. A fragile giant."
"Insurgencies in Iran / Kurdish-Iranian crisis","1918 (spike 2026)","Iranian state vs. Kurdish (PJAK), Baloch, Arab insurgents — surging amid the Iran war.cnn","7,015+ deaths in 2026 (vs. 63 in 2025) — explosive jump.cnn Assessment: The Iran war + Khamenei's death has cracked internal control; ethnic insurgencies are exploiting the vacuum. If the regime weakens further, Iran faces a genuine fragmentation/civil-conflict scenario. One of the most dynamic situations to watch."
"Yemeni Civil War","2011/2014","Houthis vs. govt + Saudi coalition; fused into Red Sea/Israel front.cnn","2,895 deaths in 2025.cnn Assessment: Frozen-ish on the ground but the Houthis are now a regional actor via Red Sea attacks tied to the Israel/Iran war. De facto Houthi control of the north persists."
"Syrian Conflict (post-Assad)","2011 (Assad fell 2024)","New govt vs. ISIS remnants, SDF/Kurds, Druze; Turkish & Israeli interventions.cnn","8,330–8,600+ deaths in 2025.cnn Assessment: Assad's fall did not end the war — it reshuffled it. SDF-government clashes, Druze insurgency, Israeli invasion of southern Syria, and Turkish-Kurdish fighting keep it hot. Fragile transition; partition pressures remain."
"Afghan Conflict / Afghan-Pakistani War","1978 (2026 flare)","Taliban govt vs. ISIS-K, anti-Taliban resistance; 2026 Afghan–Pakistani war.cnn","4,409 deaths in 2025.cnn Assessment: A new interstate dimension — Afghanistan-Pakistan border war in 2026 — is the key escalation. TTP sanctuary in Afghanistan drives Pakistani strikes. Risk of sustained interstate conflict between two nuclear-adjacent states."
"Nigerian Civil Conflict","1998","Boko Haram/ISWAP, herder-farmer, banditry, Biafran separatism.cnn","3,200 deaths in 2025.cnn Assessment: Multi-front chronic insecurity; no single resolution. Banditry in the northwest now rivals jihadism in lethality."
"Colombian Conflict","1964","State vs. ELN, FARC dissidents; Catatumbo campaign; ""Operation Southern Spear.""cnn","2,728 deaths in 2025.cnn Assessment: ""Total Peace"" policy faltering; dissident/ELN violence resurging, especially Catatumbo. Spillover with Venezuela."
"Venezuelan Conflict","2010","State vs. armed groups; ""Operation Southern Spear""; Colombia border.cnn","2,602 deaths in 2025.cnn Assessment: Heightened US-Venezuela tensions and border militarization; watch for escalation."
"Ecuadorian Conflict","1993 (since 2024)","State vs. drug gangs (declared ""internal armed conflict"").cnn","4,051 deaths in 2025.cnn Assessment: Rapidly deteriorating; cartel-state war Mexicanizing Ecuador. Among Latin America's fastest-worsening."
"Cameroonian Conflicts / Anglophone Crisis","2012","Govt vs. Ambazonian separatists + Boko Haram.cnn","1,826 deaths in 2025.cnn Assessment: Frozen, brutal stalemate; no political settlement to Anglophone grievances."
"Central African Republic Civil War","2012","Govt + Russian forces vs. rebel coalitions.cnn","1,215 deaths in 2025.cnn Assessment: Low-intensity, Russia-propped government; chronic instability."
"Haitian Crisis","2018","Govt (collapsed) + Kenyan-led MSS force vs. gang coalitions controlling Port-au-Prince.cnn+1","2,778–3,141+ deaths in 2025.cnn Assessment: Near-total state collapse; gangs control ~85%+ of the capital. The MSS mission is under-resourced and failing. Trajectory: continued state failure absent a far larger intervention."
