"#","Conflict","Region","Start","Key Notes"
"21","Afghanistan (ISIS-K + Resistance)","Central Asia","2001/2021","Taliban government vs. ISIS-Khorasan Province + National Resistance Front. ISIS-K conducting attacks. Taliban consolidated control but face economic collapse and international isolation."
"22","Mozambique (Cabo Delgado Insurgency)","Southern Africa","2017","ISIS-linked insurgents vs. Mozambican forces + Rwandan troops + SADC force. LNG projects disrupted. Insurgency contained but not defeated."
"23","Nigeria (Multi-Front)","West Africa","2009 (Boko Haram); broader decades","Boko Haram/ISWAP (northeast), banditry (northwest), separatist tensions (southeast/IPOB), farmer-herder conflicts (Middle Belt). ACLED notes no respite from Nigeria's complex patchwork of regional conflicts.csis"
"24","Iraq (Residual Instability)","Middle East","2003+","ISIS remnants, Iran-backed Shia militias (PMF/PMU), Kurdish tensions. Low-intensity but persistent. Iran war has re-activated militia operations against US targets."
"25","India-Pakistan Tensions","South Asia","1947+","Nuclear-armed rivals. 2025 saw worst military exchanges in decades. Kashmir remains unresolved. Any escalation carries nuclear risk.csis"
"26","Cameroon (Anglophone Crisis)","Central Africa","2016","English-speaking separatists vs. Francophone-dominated government. Thousands killed. Under-reported."
"27","Central African Republic","Central Africa","2012","Seleka/Anti-Balaka cycle. Russian Africa Corps present. Government controls capital; armed groups control much of countryside."
"28","Philippines (Mindanao)","Southeast Asia","1969+","Low-intensity insurgency by Abu Sayyaf, Bangsamoro Islamic Freedom Fighters. Bangsamoro Autonomous Region established but implementation ongoing."
"29","Thailand-Cambodia Border Tensions","Southeast Asia","2025","New flashpoint. Tensions flared over disputed border area. Worth monitoring for escalation.globalr2p"
"30","Afghanistan-Pakistan Border Clashes","South/Central Asia","2025+","Taliban-Pakistan military clashes along Durand Line. Pakistan conducting strikes; Taliban retaliating.globalr2p"
