"#","Conflict / theater","Start date / active phase","Main parties","Historical context","Current status, June 2026","Realistic assessment: where it is heading"
"1","Russia–Ukraine war","Root conflict: 2014; full-scale invasion: Feb. 24, 2022","Russia vs Ukraine; Russian proxy/separatist formations integrated into Russian command; NATO/EU as Ukraine’s strategic backers","Russia annexed Crimea in 2014, backed separatist war in Donbas, then escalated into full-scale interstate war in 2022.news.un","CFR lists the war as an active interstate conflict with “critical” U.S. interest impact and an “unchanging” status, while recent peace talks have produced prisoner exchanges but no breakthrough on territory or security guarantees.globalsecurityreview+2","Severity: Extreme. Trajectory: Stalemated but lethal. The most likely path is continued attritional warfare, drone/missile escalation, and failed diplomacy because Russia still demands Ukrainian territorial concessions and Ukraine still needs enforceable security guarantees.cfr Barring a sudden political rupture in Moscow or Kyiv, the war is headed toward a grinding semi-frozen front rather than a clean settlement."
"2","Armenia–Azerbaijan / post-Nagorno-Karabakh confrontation","Root conflict: 1988–1991; major wars in 1992–1994, 2020, 2023","Armenia, Azerbaijan; formerly Nagorno-Karabakh Armenian authorities; Russia, Turkey, EU, Iran as external stakeholders","The conflict moved from Soviet collapse into repeated wars over Nagorno-Karabakh, culminating in Azerbaijan’s military takeover of the territory in 2023.","CFR tracks “Tensions Between Armenia and Azerbaijan” as an active territorial dispute but marks the status as “improving.”globalsecurityreview","Severity: Medium. Trajectory: Improving but brittle. The hot war phase is likely over for now, but border demarcation, transit corridors, displaced Armenians, and Russian influence erosion create a permanent risk of coercive flare-ups. The direction is toward an imposed regional settlement favorable to Azerbaijan unless Armenia secures stronger external guarantees."
"3","Georgia: Abkhazia and South Ossetia occupation conflict","1991–1992; major Russia–Georgia war in 2008","Georgia vs Russian forces and Russian-backed Abkhaz/South Ossetian authorities","Georgia lost de facto control over Abkhazia and South Ossetia after separatist wars and the 2008 Russia–Georgia war.","Geneva Academy classifies Russia’s occupation of South Ossetia and Abkhazia as part of Europe’s current armed-conflict landscape.gjia.georgetown","Severity: Low/Medium. Trajectory: Frozen occupation. Open war is unlikely while Russia is absorbed in Ukraine, but the territories will remain militarized pressure points. If Russia weakens, Georgia may seek diplomatic reintegration; if Russia regains confidence, it may harden annexation-style control."
"4","Moldova / Transnistria","1992","Moldova vs Russian-backed Transnistrian authorities; Russian Operational Group of Forces","Transnistria broke away during the Soviet collapse; Russian troops and ammunition depots remain central to the dispute.","Geneva Academy lists Russian occupation of Transdniestria/Transnistria as one of Europe’s current armed conflicts/occupations.gjia.georgetown","Severity: Low. Trajectory: Frozen but strategically sensitive. This is unlikely to become a major battlefield unless the Ukraine war spills westward or Russia attempts destabilization against Moldova. Long-term, Transnistria’s fate is tied more to the outcome of the Ukraine war than to local military balance."
"5","Cyprus occupation dispute","1974","Republic of Cyprus / Greek Cypriot authorities vs Turkish-backed Northern Cyprus; Turkey as occupying power","Turkey intervened in 1974 after a Greek-backed coup attempt, creating a divided island with a UN buffer zone.","Geneva Academy includes Cyprus among current MENA-region armed-conflict/occupation situations.gjia.georgetown","Severity: Low. Trajectory: Frozen. Armed escalation is unlikely, but reunification is also unlikely. The conflict will probably persist as a managed occupation unless Turkey, Greece, and the EU make a broader geopolitical bargain."
"6","Israel–Palestine / Gaza war and wider Palestinian territories","Root conflict: 1948/1967; current Gaza war: Oct. 7, 2023","Israel vs Hamas, Palestinian Islamic Jihad, other Palestinian armed groups; Palestinian civilians under occupation/blockade; U.S., Iran, Qatar, Egypt, Turkey as external stakeholders","The conflict is rooted in the 1948 Arab–Israeli war, the 1967 occupation of Gaza/West Bank/East Jerusalem, failed peace processes, and repeated Gaza wars.","CFR lists the Israeli–Palestinian conflict as “worsening,” while War Watch says the Israel–Hamas and Israel–PIJ conflicts in Gaza continued at very high intensity during its reporting period and notes a ceasefire agreed on Oct. 9, 2025.globalsecurityreview+1","Severity: Extreme. Trajectory: Managed catastrophe, not resolution. The likely direction is not a durable peace but a cycle of ceasefire violations, Gaza reconstruction obstruction, insurgent reconstitution, West Bank radicalization, and Israeli security operations. Without a credible political end-state, the conflict is structurally primed to reignite even if the Gaza front temporarily quiets."
"7","Israel–Hezbollah / Lebanon front","Root conflict: 1982; major war: 2006; current escalation: Oct. 2023 onward","Israel vs Hezbollah; Lebanese state affected but not fully controlling Hezbollah; Iran as Hezbollah’s main backer","Hezbollah emerged during Israel’s Lebanon occupation and became Iran’s most capable regional proxy.","CFR tracks “Conflict With Hezbollah in Lebanon” as an active interstate-style conflict with significant U.S. interest impact and a “worsening” status.globalsecurityreview","Severity: High/Extreme. Trajectory: Worsening flashpoint. The border war can stay below full-scale invasion levels, but the risk of miscalculation is severe because both sides have incentives to restore deterrence by force. If Gaza diplomacy collapses or Iran–Israel escalation resumes, Lebanon becomes the most likely second major front."
"8","Iran–Israel–United States confrontation","Root rivalry: 1979; direct escalation cycle: 2024–2026","Iran, Israel, United States; IRGC; Iranian-aligned militias in Iraq, Syria, Lebanon, Yemen","The confrontation combines Iran’s nuclear program, Israel’s regional strike campaign, U.S. force posture, and Iran-backed proxy networks.","CFR explicitly tracks “Iran’s War With Israel and the United States” as an active interstate conflict with “critical” U.S. interest impact and an “unchanging” status.globalsecurityreview","Severity: Extreme. Trajectory: Contained escalation until it isn’t. This is the most dangerous conflict cluster for sudden regional war because it contains nuclear risk, proxy risk, maritime risk, and U.S. force-protection risk. The likely path is recurring direct and deniable strikes, but a mass-casualty event against U.S. or Israeli targets could rapidly break containment."
"9","Yemen civil war and Red Sea conflict","Houthi takeover/civil war: 2014; Saudi-led intervention: 2015; Red Sea escalation: 2023 onward","Houthis/Ansar Allah vs internationally recognized Yemeni government, Southern Transitional Council, local factions; Saudi Arabia/UAE; U.S./UK maritime forces; Israel affected","Yemen’s state collapse followed the Arab Spring transition failure and Houthi seizure of Sana’a.","WFP says Yemen’s war began in 2014, a truce was signed in 2022, but fighting still continues; CFR tracks “Conflict in Yemen and the Red Sea” as “worsening.”news.un+1","Severity: High. Trajectory: Fragmented and regionalized. Yemen is unlikely to reunify under one authority soon. The Houthis have every incentive to preserve Red Sea leverage, while southern separatists and anti-Houthi forces remain divided. Expect intermittent maritime escalation, localized ground fighting, and chronic humanitarian collapse."
"10","Syria post-2011 conflict / post-Assad fragmentation","March 2011; renewed fragmentation after 2024–2025 transition","Syrian transitional/government forces, former regime remnants, HTS-linked structures, SDF/YPG, Turkish-backed factions, ISIS remnants, Iran/Russia/Turkey/Israel/U.S. interests","Syria’s uprising became a multi-sided civil and proxy war involving jihadists, Kurdish autonomy forces, Turkey, Iran, Russia, the U.S., and Israel.","Geneva Academy describes Syria as one of the most complex conflict environments, with overlapping NIACs, occupations, and international armed conflicts; WFP says fighting resurfaced in March 2025 after Assad’s ouster and continues.gjia.georgetown+1","Severity: High. Trajectory: Fragmenting. Syria is not “post-war”; it is post-centralized-war. The likely future is a Lebanon-style patchwork of armed zones, external patrons, Israeli strikes, Turkish pressure on Kurdish forces, and jihadist resurgence risk. A national settlement is unlikely without an externally enforced security bargain."
